# sampleP4_6p5_15c
# q, 0.09515394
# dq, 0.000395085
#  
#           tau       S(Q,t)      dS(Q,t)
     0.076899,     0.995891,     0.011830
     0.191222,     1.036561,     0.014902
     0.363619,     1.019824,     0.022453
     0.543281,     0.963803,     0.014698
     0.891989,     0.954299,     0.026720
     1.150525,     0.902193,     0.032594
     1.426898,     0.982106,     0.015686
     1.849434,     0.895207,     0.038630
     2.394602,     0.881546,     0.026494
     3.067676,     0.873865,     0.035184
     3.901120,     0.893369,     0.015905
     5.624263,     0.847555,     0.026563
     7.114053,     0.814623,     0.018693
     9.174762,     0.725839,     0.028823
    11.480140,     0.683714,     0.016954
    14.454210,     0.607079,     0.017793
    18.307920,     0.575377,     0.016413
    23.812260,     0.505826,     0.021441
    32.112260,     0.398739,     0.012935
    41.763290,     0.353427,     0.015224
    53.225480,     0.308477,     0.017438
    68.559900,     0.235197,     0.020196
    80.737390,     0.300968,     0.056230
