# sampleP4_6p5_35c
# q, 0.08491345
# dq, 0.0004107768
#  
#           tau       S(Q,t)      dS(Q,t)
     0.080572,     1.022836,     0.009872
     0.193288,     1.006538,     0.011541
     0.358453,     1.019843,     0.018615
     0.551262,     1.011834,     0.012399
     0.886866,     0.944539,     0.020804
     1.151249,     1.005971,     0.031309
     1.431120,     0.969087,     0.012880
     1.849417,     0.900987,     0.028959
     2.392647,     0.846116,     0.020008
     3.068826,     0.865150,     0.030577
     3.908326,     0.819270,     0.011963
     5.649343,     0.749970,     0.017837
     7.150284,     0.686779,     0.012697
     9.178174,     0.641270,     0.020621
    11.539380,     0.605438,     0.011853
    14.438190,     0.533428,     0.012516
    18.418810,     0.490426,     0.011232
    23.797440,     0.382642,     0.014905
    31.906160,     0.345494,     0.011407
    40.645470,     0.273232,     0.013655
    51.956840,     0.198663,     0.014580
    68.131670,     0.154608,     0.018770
    84.264820,     0.179387,     0.047074
   110.447400,     0.378065,     0.135009
