# sampleP4_6p5_15c
# q, 0.1043233
# dq, 0.0005367036
#  
#           tau       S(Q,t)      dS(Q,t)
     0.075696,     0.994617,     0.014982
     0.189789,     1.038678,     0.018256
     0.368429,     0.983000,     0.028250
     0.547825,     0.968633,     0.018554
     0.901214,     0.963650,     0.035914
     1.150465,     1.028914,     0.045234
     1.423179,     0.947403,     0.019284
     1.849344,     0.881591,     0.048022
     2.408948,     0.856881,     0.036469
     3.067442,     0.843921,     0.042825
     3.908693,     0.858602,     0.018645
     5.452804,     0.806244,     0.038673
     7.120749,     0.728464,     0.021092
     9.163883,     0.693616,     0.037753
    11.403390,     0.660042,     0.021901
    14.423390,     0.616699,     0.023005
    18.390730,     0.533503,     0.021750
    24.014490,     0.380116,     0.025012
    31.792180,     0.367084,     0.021446
    40.587690,     0.376702,     0.030867
    51.446310,     0.235233,     0.038600
    68.611130,     0.166020,     0.101301
