# sampleP4_6p5_25c
# q, 0.05500255
# dq, 0.0004031776
#  
#           tau       S(Q,t)      dS(Q,t)
     0.083218,     1.015608,     0.009193
     0.240498,     1.022457,     0.007177
     0.380920,     0.997202,     0.011950
     0.564478,     1.010461,     0.007646
     0.854284,     0.971820,     0.012661
     1.153784,     1.008709,     0.010540
     1.432514,     0.964317,     0.010960
     1.790146,     0.975697,     0.015414
     2.327999,     0.963931,     0.008740
     2.957645,     1.017102,     0.024643
     3.957388,     0.928643,     0.010456
     5.787339,     0.915902,     0.008433
     7.136648,     0.886912,     0.014049
     8.946218,     0.887594,     0.015120
    11.555420,     0.839463,     0.008438
    14.499350,     0.803695,     0.014828
    18.314390,     0.778960,     0.011396
    23.504340,     0.753524,     0.009737
    31.648640,     0.695437,     0.009325
    41.453780,     0.641187,     0.011614
    53.190680,     0.587865,     0.013431
    68.271270,     0.509954,     0.017177
    84.030970,     0.521994,     0.042706
