# sampleP4_6p5_35c
# q, 0.1138263
# dq, 0.001343964
#  
#           tau       S(Q,t)      dS(Q,t)
     0.075603,     1.100858,     0.020654
     0.184813,     1.069587,     0.024955
     0.367269,     0.974702,     0.033719
     0.532963,     0.976638,     0.025253
     0.907708,     0.946902,     0.043679
     1.151067,     0.914457,     0.049540
     1.429888,     0.900978,     0.024834
     1.849422,     0.933408,     0.127536
     2.419322,     0.794932,     0.040917
     3.068425,     0.723360,     0.049228
     3.977474,     0.691563,     0.024175
     5.685767,     0.581190,     0.055270
     7.159727,     0.543161,     0.028303
     9.137816,     0.453264,     0.041190
    11.580090,     0.427771,     0.027690
    14.730360,     0.308579,     0.032997
    18.216970,     0.276280,     0.053681
    24.269350,     0.213165,     0.060047
    31.598400,     0.131231,     0.062587
    39.979850,     0.241829,     0.202824
    50.156020,     0.053606,     0.123611
