# sampleP4_6p5_35c
# q, 0.05456399
# dq, 0.0005623475
#  
#           tau       S(Q,t)      dS(Q,t)
     0.083461,     1.030179,     0.009937
     0.241682,     1.008790,     0.007612
     0.363980,     0.996402,     0.011321
     0.568784,     1.007598,     0.007856
     0.853183,     0.971418,     0.013068
     1.154788,     0.975076,     0.010317
     1.432331,     0.980012,     0.012242
     1.790855,     0.969017,     0.016228
     2.330604,     0.972193,     0.008731
     2.930040,     0.936918,     0.025157
     3.998817,     0.916860,     0.010895
     5.771363,     0.875135,     0.008112
     7.140817,     0.899521,     0.014425
     8.943468,     0.839274,     0.015554
    11.558480,     0.831347,     0.008453
    14.492320,     0.798841,     0.014899
    18.593500,     0.769187,     0.011017
    23.724970,     0.701988,     0.010193
    31.736480,     0.637526,     0.009433
    40.625330,     0.602207,     0.012592
    51.854840,     0.546531,     0.012531
    68.103900,     0.459773,     0.016686
    84.073460,     0.517238,     0.041158
   110.347200,     0.439673,     0.125218
