# sampleP4_6p5_25c
# q, 0.1043458
# dq, 0.0005869854
#  
#           tau       S(Q,t)      dS(Q,t)
     0.076177,     1.030183,     0.014346
     0.190309,     0.992097,     0.016253
     0.365247,     1.041995,     0.030050
     0.544452,     0.978210,     0.017500
     0.901493,     0.932535,     0.034598
     1.150798,     0.989735,     0.042992
     1.427063,     0.930224,     0.017576
     1.849155,     0.969199,     0.051111
     2.410068,     0.829446,     0.035738
     3.067773,     0.831269,     0.040424
     3.893266,     0.775147,     0.017085
     5.480272,     0.725173,     0.034861
     7.124518,     0.673583,     0.020290
     9.172014,     0.608175,     0.034403
    11.417540,     0.571224,     0.020720
    14.505540,     0.544430,     0.022004
    18.403620,     0.394770,     0.019932
    24.040740,     0.287992,     0.023718
    31.765270,     0.272614,     0.020385
    40.925840,     0.172830,     0.028402
    52.005340,     0.208220,     0.036863
    66.591750,     0.166108,     0.104058
