# sampleP4_6p5_25c
# q, 0.06493376
# dq, 0.0007342232
#  
#           tau       S(Q,t)      dS(Q,t)
     0.081339,     1.016597,     0.008692
     0.216044,     1.002219,     0.008956
     0.362324,     0.985305,     0.013859
     0.556975,     0.987706,     0.009428
     0.880028,     0.954581,     0.015313
     1.139330,     0.964448,     0.017043
     1.434101,     0.992658,     0.011633
     1.818291,     0.963482,     0.019808
     2.333841,     0.938933,     0.012587
     3.036371,     0.909422,     0.029624
     3.949662,     0.920925,     0.010885
     5.693698,     0.878351,     0.012852
     7.148131,     0.861946,     0.012555
     9.127838,     0.816227,     0.018476
    11.480350,     0.776792,     0.010941
    14.475310,     0.735236,     0.012781
    18.491200,     0.720556,     0.011124
    23.735590,     0.673659,     0.013601
    31.940760,     0.588954,     0.010490
    41.774620,     0.543741,     0.011919
    53.546540,     0.471085,     0.013797
    69.009450,     0.407860,     0.015635
    83.927900,     0.429440,     0.039089
   110.327200,     0.410421,     0.105905
