# sampleP4_6p5_35c
# q, 0.1335825
# dq, 0.0007335891
#  
#           tau       S(Q,t)      dS(Q,t)
     0.077326,     1.063139,     0.048925
     0.153294,     1.111240,     0.159418
     0.351685,     1.008232,     0.065604
     0.907630,     0.976732,     0.073210
     1.151067,     0.810796,     0.107452
     2.419260,     0.777618,     0.065299
     3.068425,     0.600704,     0.167706
     4.536673,     0.444678,     0.079659
     7.259670,     0.494058,     0.110994
     9.093691,     0.374696,     0.106909
    11.453320,     0.455161,     0.134021
    14.430110,     0.515550,     0.457489
