# sampleP4_6p5_15c
# q, 0.1134501
# dq, 0.001023419
#  
#           tau       S(Q,t)      dS(Q,t)
     0.072613,     1.053753,     0.019389
     0.185607,     1.049904,     0.022931
     0.364939,     0.986671,     0.034996
     0.528720,     0.983138,     0.022742
     0.907169,     0.990793,     0.046633
     1.150325,     0.928890,     0.049969
     1.421891,     0.903669,     0.021179
     1.849344,     0.834372,     0.107301
     2.418941,     0.849476,     0.042248
     3.067322,     0.858249,     0.055298
     3.968653,     0.786876,     0.023782
     5.704913,     0.819266,     0.058482
     7.133047,     0.723934,     0.030086
     9.125999,     0.659296,     0.042547
    11.499180,     0.632094,     0.029659
    14.651940,     0.594171,     0.036414
    18.228370,     0.490760,     0.051865
    24.146700,     0.334761,     0.062959
    31.732600,     0.406302,     0.069862
    41.194090,     0.192295,     0.138426
