# sampleP4_6p5_25c
# q, 0.1333868
# dq, 0.0007218636
#  
#           tau       S(Q,t)      dS(Q,t)
     0.079820,     1.104908,     0.049876
     0.153277,     1.081875,     0.135587
     0.352312,     1.073288,     0.066368
     0.907446,     0.996303,     0.064127
     1.150755,     0.849252,     0.138716
     2.419999,     0.812387,     0.069171
     3.067703,     0.505163,     0.156300
     4.534793,     0.636137,     0.079462
     7.259464,     0.460266,     0.110913
     9.083754,     0.418044,     0.107412
    11.866830,     0.442362,     0.140263
