# sampleP4_6p5_25c
# q, 0.08501507
# dq, 0.0005598792
#  
#           tau       S(Q,t)      dS(Q,t)
     0.080768,     1.028574,     0.009936
     0.193690,     1.038847,     0.012040
     0.356656,     1.006856,     0.018011
     0.550040,     1.003158,     0.012154
     0.888206,     0.968773,     0.021602
     1.150878,     0.975978,     0.030298
     1.430584,     0.948152,     0.012525
     1.849284,     0.924247,     0.029104
     2.393385,     0.878600,     0.020370
     3.068059,     0.830451,     0.029075
     3.913653,     0.840419,     0.012336
     5.650744,     0.805206,     0.017738
     7.144344,     0.784204,     0.013776
     9.174981,     0.675429,     0.019677
    11.544120,     0.694984,     0.013042
    14.515330,     0.631214,     0.014411
    18.438510,     0.547462,     0.013352
    23.815200,     0.480928,     0.016317
    31.798940,     0.432825,     0.011906
    41.436090,     0.367500,     0.013057
    53.004160,     0.296603,     0.016372
    67.573640,     0.267526,     0.019706
    85.400870,     0.210038,     0.042570
   110.444500,     0.156214,     0.103461
