# sampleP4_6p5_15c
# q, 0.03564908
# dq, 0.000636939
#  
#           tau       S(Q,t)      dS(Q,t)
     0.081200,     1.039506,     0.016819
     0.262988,     1.045835,     0.009518
     0.392113,     1.000757,     0.015457
     0.575550,     1.009379,     0.009808
     0.826511,     0.993184,     0.016254
     1.158491,     0.994767,     0.011458
     1.427107,     0.997471,     0.018795
     1.771532,     0.966588,     0.019730
     2.333316,     0.979959,     0.009943
     2.885352,     0.944927,     0.025617
     3.937922,     0.928079,     0.016218
     5.803508,     0.969036,     0.010361
     7.124260,     0.938001,     0.024350
     8.757314,     0.942308,     0.021172
    11.624400,     0.957634,     0.011896
    14.315190,     0.957265,     0.029910
    17.508210,     0.936266,     0.025416
    23.333500,     0.899736,     0.012619
    31.804820,     0.880312,     0.012275
    41.265460,     0.843820,     0.013840
    52.966710,     0.775176,     0.015355
    67.830060,     0.767561,     0.017644
    83.961600,     0.754964,     0.039499
   110.196400,     0.609649,     0.124148
