# sampleP4_6p5_15c
# q, 0.06500901
# dq, 0.0007610579
#  
#           tau       S(Q,t)      dS(Q,t)
     0.080815,     1.032380,     0.008911
     0.215421,     0.992849,     0.008839
     0.364796,     1.010273,     0.014675
     0.554653,     0.981592,     0.009469
     0.879144,     0.963447,     0.015778
     1.139032,     0.963161,     0.017806
     1.428856,     1.005351,     0.011629
     1.817278,     0.970180,     0.020308
     2.332388,     0.968159,     0.013541
     3.035977,     0.888895,     0.029564
     3.938180,     0.928431,     0.011075
     5.661706,     0.884693,     0.013313
     7.124559,     0.905414,     0.013489
     9.120731,     0.861788,     0.020065
    11.444930,     0.827527,     0.011700
    14.455610,     0.791573,     0.014024
    18.455030,     0.753205,     0.012082
    23.702050,     0.711118,     0.014245
    31.858230,     0.657639,     0.011102
    41.728620,     0.623553,     0.012448
    53.489390,     0.539783,     0.014197
    68.958790,     0.467455,     0.016022
    84.422460,     0.413609,     0.037668
   110.298400,     0.293968,     0.112100
