# sampleP4_6p5_35c
# q, 0.0645642
# dq, 0.0008191252
#  
#           tau       S(Q,t)      dS(Q,t)
     0.080688,     1.039077,     0.008847
     0.211423,     1.015194,     0.008737
     0.364940,     1.001768,     0.014258
     0.554762,     0.998555,     0.009221
     0.874141,     0.949091,     0.016175
     1.139239,     0.959001,     0.016868
     1.434604,     0.984325,     0.010962
     1.814908,     0.915541,     0.018956
     2.327681,     0.927733,     0.013087
     3.043950,     0.900406,     0.027274
     3.923753,     0.902040,     0.010766
     5.683025,     0.825277,     0.012318
     7.141977,     0.833102,     0.012730
     9.130541,     0.781076,     0.019277
    11.471130,     0.758108,     0.011143
    14.470710,     0.715018,     0.013200
    18.605950,     0.660291,     0.010612
    23.892950,     0.588363,     0.013163
    31.889350,     0.526535,     0.010206
    40.863930,     0.462197,     0.012581
    52.365140,     0.401050,     0.012373
    68.681950,     0.353685,     0.015554
    83.751680,     0.301658,     0.039388
   110.349600,     0.251337,     0.107594
