# sampleP4_6p5_25c
# q, 0.03558077
# dq, 0.0004290368
#  
#           tau       S(Q,t)      dS(Q,t)
     0.081959,     1.024488,     0.015315
     0.258831,     1.026888,     0.009420
     0.390192,     1.004078,     0.014557
     0.573764,     1.019429,     0.009849
     0.825724,     1.018999,     0.015484
     1.157590,     0.994925,     0.011970
     1.432377,     0.994373,     0.017120
     1.764654,     0.963416,     0.018568
     2.332280,     0.980151,     0.010249
     2.887287,     0.970601,     0.025272
     3.920582,     0.951496,     0.015193
     5.786750,     0.960142,     0.010721
     7.150450,     0.940251,     0.022169
     8.738035,     0.926306,     0.020943
    11.600050,     0.959976,     0.012674
    14.345030,     0.948336,     0.027220
    17.552680,     0.958124,     0.023699
    23.368370,     0.876349,     0.013788
    31.796540,     0.838186,     0.012677
    41.468870,     0.780806,     0.014326
    53.210960,     0.754452,     0.016168
    68.319420,     0.728898,     0.018275
    84.038840,     0.758724,     0.039338
   110.229600,     0.477314,     0.124112
