# sampleP4_6p5_35c
# q, 0.1236558
# dq, 0.0008523786
#  
#           tau       S(Q,t)      dS(Q,t)
     0.074805,     1.059808,     0.032215
     0.175626,     1.062087,     0.046217
     0.373095,     0.969122,     0.043409
     0.524366,     0.931850,     0.051919
     0.907630,     0.953060,     0.059173
     1.151067,     0.926749,     0.064521
     1.430189,     0.861234,     0.051024
     2.419260,     0.783712,     0.054486
     3.068425,     0.608188,     0.066868
     4.255705,     0.623083,     0.046321
     5.752000,     0.662815,     0.090307
     7.209075,     0.513876,     0.051509
     9.109173,     0.310089,     0.054785
    11.567130,     0.314457,     0.045527
    14.826320,     0.334798,     0.081414
