# sampleP4_6p5_35c
# q, 0.0450378
# dq, 0.0004834705
#  
#           tau       S(Q,t)      dS(Q,t)
     0.084626,     1.037888,     0.012832
     0.246401,     1.012724,     0.008714
     0.377900,     0.997470,     0.011279
     0.569876,     1.025064,     0.009142
     0.834677,     0.994726,     0.013020
     1.145483,     0.974364,     0.011004
     1.430894,     0.965352,     0.014374
     1.767846,     0.955012,     0.015386
     2.312843,     0.997085,     0.009769
     2.905798,     0.957338,     0.023206
     3.940022,     0.943094,     0.012389
     5.743472,     0.901552,     0.009001
     7.135813,     0.898914,     0.016431
     8.782697,     0.854497,     0.014954
    11.490000,     0.861412,     0.009551
    14.371770,     0.828241,     0.018660
    18.518060,     0.806105,     0.013031
    23.680050,     0.775254,     0.011306
    31.792300,     0.705407,     0.009153
    40.502750,     0.673473,     0.012742
    51.729410,     0.628047,     0.010833
    68.772690,     0.566030,     0.014798
    85.560750,     0.507065,     0.029693
   110.218600,     0.400745,     0.070965
