# sampleP4_6p5_35c
# q, 0.09509779
# dq, 0.0003199724
#  
#           tau       S(Q,t)      dS(Q,t)
     0.077582,     1.027551,     0.011746
     0.190407,     1.026655,     0.013721
     0.361528,     0.998458,     0.021677
     0.543215,     0.992980,     0.014073
     0.891098,     0.948169,     0.025805
     1.151224,     0.948323,     0.033667
     1.431110,     0.928032,     0.014511
     1.849421,     0.848133,     0.037342
     2.396316,     0.871348,     0.025783
     3.068738,     0.745778,     0.032566
     3.898694,     0.772311,     0.014118
     5.609841,     0.700520,     0.024524
     7.137304,     0.662392,     0.016582
     9.175262,     0.574947,     0.027076
    11.500060,     0.489276,     0.015225
    14.435550,     0.446653,     0.017028
    18.437710,     0.354814,     0.015300
    23.885460,     0.355463,     0.020288
    32.077960,     0.232479,     0.012276
    41.040390,     0.215170,     0.015992
    52.137970,     0.145107,     0.016941
    68.445470,     0.141230,     0.022022
    80.017320,     0.069109,     0.072479
