# sampleP4_6p5_35c
# q, 0.07484629
# dq, 0.0006041834
#  
#           tau       S(Q,t)      dS(Q,t)
     0.080064,     1.032609,     0.008798
     0.195272,     0.998725,     0.009803
     0.359328,     0.999231,     0.016489
     0.550508,     1.008083,     0.010417
     0.884943,     0.995633,     0.019761
     1.151303,     1.013960,     0.030027
     1.430996,     0.969436,     0.010929
     1.842143,     0.921779,     0.023325
     2.385879,     0.900955,     0.019488
     3.069010,     0.873231,     0.031189
     3.884986,     0.839848,     0.010273
     5.675964,     0.775487,     0.015816
     7.138209,     0.773613,     0.011339
     9.180242,     0.691472,     0.019070
    11.493490,     0.689883,     0.010807
    14.427340,     0.644263,     0.012420
    18.466920,     0.577883,     0.010481
    23.823110,     0.514745,     0.014085
    31.840200,     0.457371,     0.012524
    40.634230,     0.357781,     0.016918
    51.931150,     0.321562,     0.015390
    68.531670,     0.279180,     0.023802
    84.555660,     0.254723,     0.053194
