# sampleP4_6p5_15c
# q, 0.1335955
# dq, 0.0007093882
#  
#           tau       S(Q,t)      dS(Q,t)
     0.074732,     1.042893,     0.049975
     0.153274,     0.909303,     0.124772
     0.352576,     0.976421,     0.062538
     0.907111,     0.969015,     0.062774
     1.150325,     0.956698,     0.135231
     2.418861,     0.762016,     0.067207
     3.067322,     0.888724,     0.199585
     4.535486,     0.558808,     0.076476
     5.749246,     0.680689,     0.248133
     7.256122,     0.544671,     0.105246
     9.094475,     0.588996,     0.119987
    11.963840,     0.526354,     0.153252
    14.931710,     0.751546,     0.264639
