# sampleP4_6p5_35c
# q, 0.03565796
# dq, 0.0006004404
#  
#           tau       S(Q,t)      dS(Q,t)
     0.078650,     1.031974,     0.017601
     0.261184,     1.033155,     0.009481
     0.374769,     1.010920,     0.013189
     0.574358,     1.019862,     0.009466
     0.824009,     0.994361,     0.015940
     1.159738,     0.977604,     0.010770
     1.429859,     1.019601,     0.018537
     1.758739,     0.976869,     0.019350
     2.333162,     0.984044,     0.009587
     2.879332,     0.970455,     0.024800
     3.974353,     0.916381,     0.015338
     5.811837,     0.911565,     0.009371
     7.126166,     0.904719,     0.022857
     8.713871,     0.909836,     0.020195
    11.632190,     0.910547,     0.010997
    14.298120,     0.939461,     0.028237
    18.249120,     0.870972,     0.020739
    23.564340,     0.849527,     0.012441
    31.837990,     0.810623,     0.011454
    40.758340,     0.751761,     0.013520
    52.347880,     0.718816,     0.013655
    68.282240,     0.641480,     0.015514
    83.766990,     0.660886,     0.037134
   110.193900,     0.516358,     0.117899
