# sampleP4_6p5_25c
# q, 0.04515628
# dq, 0.0005244618
#  
#           tau       S(Q,t)      dS(Q,t)
     0.083200,     1.030647,     0.011833
     0.248914,     1.017818,     0.007949
     0.387476,     0.993232,     0.012968
     0.564454,     1.000993,     0.008409
     0.835801,     0.965286,     0.013290
     1.148091,     1.003417,     0.010564
     1.430480,     0.988780,     0.012915
     1.764745,     0.985992,     0.017148
     2.315486,     0.992511,     0.009406
     2.902877,     0.965131,     0.022916
     3.904520,     0.946760,     0.011729
     5.764825,     0.941431,     0.009160
     7.131543,     0.920104,     0.014137
     8.810422,     0.904784,     0.016146
    11.497430,     0.883201,     0.008655
    14.334080,     0.852649,     0.015576
    18.091240,     0.809162,     0.012353
    23.236260,     0.810550,     0.009534
    31.841070,     0.763075,     0.009120
    41.984360,     0.735105,     0.010874
    53.482520,     0.660675,     0.012266
    68.459470,     0.638406,     0.014022
    85.385780,     0.587299,     0.031618
   110.242600,     0.534537,     0.078747
