# sampleP4_6p5_15c
# q, 0.074993
# dq, 0.0004074008
#  
#           tau       S(Q,t)      dS(Q,t)
     0.079740,     1.028016,     0.009131
     0.194430,     0.995271,     0.010264
     0.362837,     0.983931,     0.017389
     0.550078,     0.994792,     0.010634
     0.883803,     0.984133,     0.021140
     1.150631,     1.015199,     0.030853
     1.427799,     0.983046,     0.011482
     1.842564,     0.945713,     0.024164
     2.385882,     0.941709,     0.021314
     3.068018,     0.892362,     0.030731
     3.874975,     0.899082,     0.011185
     5.618832,     0.877882,     0.017341
     7.123966,     0.882906,     0.012991
     9.185459,     0.806366,     0.021470
    11.472730,     0.788339,     0.012235
    14.417350,     0.731022,     0.013118
    18.414700,     0.694038,     0.011124
    23.793830,     0.640525,     0.014736
    31.747770,     0.589523,     0.012940
    42.434450,     0.534109,     0.015557
    54.031350,     0.499438,     0.018967
    68.821230,     0.401906,     0.024124
    85.760280,     0.353735,     0.051399
   110.466400,     0.237493,     0.138975
