# sampleP4_6p5_15c
# q, 0.1237241
# dq, 0.0008057132
#  
#           tau       S(Q,t)      dS(Q,t)
     0.073799,     1.023411,     0.030559
     0.175723,     1.028425,     0.043976
     0.375187,     0.985164,     0.044104
     0.521548,     0.937767,     0.053557
     0.907111,     0.900277,     0.052115
     1.150325,     0.920826,     0.062527
     1.426094,     0.900770,     0.052459
     2.418861,     0.845229,     0.055406
     3.067322,     0.750703,     0.071651
     4.241375,     0.864179,     0.051066
     5.749246,     0.711610,     0.078846
     7.206623,     0.719584,     0.056702
     9.108446,     0.603505,     0.058435
    11.655270,     0.474362,     0.044829
    14.798990,     0.453373,     0.072007
    18.621510,     0.857579,     0.252029
