# sampleP4_6p5_25c
# q, 0.07491997
# dq, 0.0005439831
#  
#           tau       S(Q,t)      dS(Q,t)
     0.078812,     1.027724,     0.008809
     0.194865,     0.996706,     0.009719
     0.361473,     0.995659,     0.017098
     0.552010,     1.000502,     0.010241
     0.882376,     0.983702,     0.020435
     1.150884,     0.960423,     0.028088
     1.430794,     0.968064,     0.010663
     1.842441,     0.924446,     0.022684
     2.385177,     0.907172,     0.020065
     3.068165,     0.866034,     0.029551
     3.872248,     0.878426,     0.010545
     5.599696,     0.831632,     0.016690
     7.128666,     0.786036,     0.011304
     9.181974,     0.750904,     0.019807
    11.469380,     0.747584,     0.011481
    14.404820,     0.691900,     0.012120
    18.423840,     0.653996,     0.010474
    23.826740,     0.578001,     0.014062
    31.849370,     0.508870,     0.012360
    42.262230,     0.434801,     0.014568
    53.870640,     0.367167,     0.018138
    68.737750,     0.324574,     0.022943
    84.653440,     0.319639,     0.051087
   110.444500,     0.105677,     0.149618
