# sampleP4_6p5_15c
# q, 0.08502879
# dq, 0.0003886993
#  
#           tau       S(Q,t)      dS(Q,t)
     0.080240,     1.011364,     0.009782
     0.193182,     1.030040,     0.011779
     0.360880,     1.023935,     0.018883
     0.547232,     1.010500,     0.012158
     0.886983,     0.956774,     0.021795
     1.150591,     0.969140,     0.029916
     1.425674,     0.969152,     0.012522
     1.849556,     0.955159,     0.030291
     2.392174,     0.910671,     0.021191
     3.067788,     0.899912,     0.031418
     3.896870,     0.917910,     0.012466
     5.703336,     0.886859,     0.019403
     7.120811,     0.839950,     0.013550
     9.174977,     0.736827,     0.020993
    11.507290,     0.742667,     0.012753
    14.420850,     0.697110,     0.014522
    18.429240,     0.639036,     0.013297
    23.815970,     0.588117,     0.016740
    31.880040,     0.539330,     0.012362
    41.517810,     0.443760,     0.013677
    53.110280,     0.383521,     0.016968
    68.434780,     0.333968,     0.019649
    83.462130,     0.347711,     0.041363
   110.466400,     0.194199,     0.117903
