# sampleP4_6p5_15c
# q, 0.04498646
# dq, 0.0005452041
#  
#           tau       S(Q,t)      dS(Q,t)
     0.083345,     1.028025,     0.013028
     0.251414,     1.021435,     0.008761
     0.391596,     0.988182,     0.012779
     0.565543,     1.001419,     0.009325
     0.837191,     0.980580,     0.013518
     1.144541,     1.012363,     0.011745
     1.429826,     0.986932,     0.014645
     1.761963,     0.980405,     0.016755
     2.311101,     0.965596,     0.009924
     2.897115,     0.973928,     0.023678
     3.921140,     0.977272,     0.012570
     5.743891,     0.960763,     0.010001
     7.142807,     0.947246,     0.016719
     8.801425,     0.912146,     0.016317
    11.490330,     0.929304,     0.010120
    14.381580,     0.934647,     0.019342
    17.912260,     0.869075,     0.014993
    23.217960,     0.855780,     0.010844
    31.774830,     0.810029,     0.009980
    42.032430,     0.770784,     0.011877
    53.613590,     0.743880,     0.013462
    68.923300,     0.677938,     0.015267
    85.493040,     0.631498,     0.031114
   110.208800,     0.654701,     0.080634
