# sampleP4_6p5_15c
# q, 0.05484429
# dq, 0.0003816805
#  
#           tau       S(Q,t)      dS(Q,t)
     0.081658,     1.042170,     0.009702
     0.241014,     1.026584,     0.007436
     0.378105,     0.984988,     0.012574
     0.564612,     1.014941,     0.007871
     0.854863,     0.977800,     0.013619
     1.155519,     1.031089,     0.010956
     1.428082,     0.991698,     0.011559
     1.792865,     0.984588,     0.017005
     2.323791,     0.994477,     0.009117
     2.954086,     1.005922,     0.025323
     3.933582,     0.961528,     0.010850
     5.779968,     0.930589,     0.008623
     7.115504,     0.935365,     0.013431
     8.953648,     0.908640,     0.016559
    11.533490,     0.896321,     0.008527
    14.408620,     0.845970,     0.013705
    18.293440,     0.820527,     0.010618
    23.441320,     0.801231,     0.009968
    31.676840,     0.758562,     0.009962
    41.536080,     0.748324,     0.012576
    53.193910,     0.664523,     0.014752
    68.032860,     0.596397,     0.017699
    83.526440,     0.543980,     0.041276
   110.295300,     0.655768,     0.128150
