# sampleP4_6p5_25c
# q, 0.09489549
# dq, 0.0003938992
#  
#           tau       S(Q,t)      dS(Q,t)
     0.076310,     1.027820,     0.011966
     0.191223,     1.018069,     0.014062
     0.362673,     0.984148,     0.021188
     0.542915,     0.996783,     0.014947
     0.890119,     0.965255,     0.026706
     1.150834,     0.911536,     0.032211
     1.431275,     0.956104,     0.015235
     1.849195,     0.889040,     0.040417
     2.393158,     0.831382,     0.024819
     3.067952,     0.807162,     0.032746
     3.922536,     0.841664,     0.015193
     5.670643,     0.747578,     0.024514
     7.128630,     0.778319,     0.017589
     9.177022,     0.658551,     0.027081
    11.482350,     0.583701,     0.015849
    14.464980,     0.566066,     0.017064
    18.421830,     0.469487,     0.015531
    23.837130,     0.422507,     0.020934
    32.057030,     0.333788,     0.012626
    41.762690,     0.263673,     0.015114
    53.288420,     0.209577,     0.017509
    68.320770,     0.180048,     0.022350
    79.909970,     0.166713,     0.057659
