# sampleP4_6p5_25c
# q, 0.1139587
# dq, 0.001115298
#  
#           tau       S(Q,t)      dS(Q,t)
     0.073454,     1.044889,     0.019679
     0.184459,     1.054910,     0.024119
     0.370881,     0.987739,     0.035762
     0.532791,     0.959706,     0.024887
     0.907510,     0.909118,     0.044441
     1.150755,     0.973459,     0.050325
     1.429180,     0.905466,     0.023939
     1.849155,     0.665672,     0.092135
     2.419955,     0.884491,     0.046349
     3.067703,     0.695197,     0.047201
     3.992413,     0.732986,     0.023569
     5.691086,     0.665880,     0.052165
     7.147231,     0.608442,     0.028554
     9.134335,     0.502108,     0.038012
    11.527600,     0.460389,     0.026761
    14.691720,     0.430980,     0.032934
    18.128680,     0.283724,     0.051155
    24.115350,     0.165675,     0.090087
    30.876220,     0.222010,     0.067198
    40.021950,     0.444476,     0.218945
    52.833500,     0.079484,     0.249658
