# sampleP4_6p5_35c
# q, 0.1043254
# dq, 0.0008839111
#  
#           tau       S(Q,t)      dS(Q,t)
     0.074827,     1.027527,     0.014457
     0.190456,     1.012809,     0.016797
     0.370442,     1.020715,     0.029134
     0.541702,     0.985486,     0.017482
     0.899810,     0.959694,     0.035450
     1.151182,     0.907719,     0.040887
     1.427356,     0.918034,     0.017721
     1.849422,     0.866472,     0.047817
     2.411996,     0.829309,     0.034763
     3.068547,     0.761360,     0.040947
     3.913720,     0.727259,     0.016916
     5.482101,     0.705278,     0.037754
     7.130655,     0.607395,     0.020154
     9.174927,     0.570096,     0.035752
    11.447130,     0.452756,     0.020281
    14.495960,     0.376594,     0.021632
    18.347620,     0.348780,     0.021471
    24.037760,     0.208544,     0.024532
    31.610000,     0.212653,     0.020193
    40.383280,     0.163383,     0.030759
    52.564480,     0.138145,     0.035732
    67.775830,     0.119029,     0.104095
