2.436353949327713705e-03,4.082270024809986353e-04,1.965480089187622070e+00,1.947912931442260742e+00,1.944570064544677734e+00,1.925461173057556152e+00,1.924826502799987793e+00,1.909276604652404785e+00,1.892768740653991699e+00,1.865061998367309570e+00,1.866775631904602051e+00,1.847598910331726074e+00,1.847808480262756348e+00,1.824537634849548340e+00,1.821906924247741699e+00,1.817385911941528320e+00,1.807100057601928711e+00
2.600530095197632965e-03,3.593736037146300077e-04,1.728329062461853027e+00,1.716096162796020508e+00,1.708611845970153809e+00,1.693320631980895996e+00,1.683358669281005859e+00,1.677583456039428711e+00,1.658077478408813477e+00,1.662565827369689941e+00,1.650130867958068848e+00,1.623897790908813477e+00,1.625977754592895508e+00,1.609556078910827637e+00,1.612504243850708008e+00,1.597619771957397461e+00,1.587882161140441895e+00
2.764706241067552660e-03,3.158293548040091991e-04,1.521880388259887695e+00,1.500935077667236328e+00,1.500774979591369629e+00,1.488798618316650391e+00,1.477630853652954102e+00,1.470504283905029297e+00,1.460638403892517090e+00,1.448812007904052734e+00,1.444534778594970703e+00,1.434968471527099609e+00,1.427361607551574707e+00,1.418933868408203125e+00,1.414369940757751465e+00,1.399104356765747070e+00,1.408195972442626953e+00
2.928882386937472354e-03,2.810393925756216049e-04,1.342965126037597656e+00,1.337078213691711426e+00,1.332098484039306641e+00,1.322560429573059082e+00,1.306568980216979980e+00,1.305234313011169434e+00,1.292039275169372559e+00,1.298515319824218750e+00,1.290013790130615234e+00,1.285733938217163086e+00,1.272023558616638184e+00,1.264859080314636230e+00,1.260517597198486328e+00,1.255065798759460449e+00,1.253082633018493652e+00
3.093058532807391615e-03,2.498890971764922142e-04,1.192826151847839355e+00,1.183861374855041504e+00,1.175209045410156250e+00,1.174343109130859375e+00,1.170560121536254883e+00,1.165768384933471680e+00,1.159869313240051270e+00,1.148317337036132812e+00,1.150037527084350586e+00,1.146938681602478027e+00,1.136643409729003906e+00,1.120826601982116699e+00,1.118562221527099609e+00,1.116636157035827637e+00,1.109328031539916992e+00
3.257234678677311309e-03,2.240434259874746203e-04,1.065668106079101562e+00,1.064462184906005859e+00,1.057825326919555664e+00,1.051781058311462402e+00,1.042929410934448242e+00,1.044089555740356445e+00,1.045223355293273926e+00,1.030721902847290039e+00,1.031902432441711426e+00,1.021003603935241699e+00,1.018897771835327148e+00,1.005779743194580078e+00,1.009825587272644043e+00,1.005280494689941406e+00,9.969467520713806152e-01
3.421410824547230570e-03,2.013478660956025124e-04,9.578118920326232910e-01,9.575046896934509277e-01,9.560381770133972168e-01,9.414186477661132812e-01,9.387505650520324707e-01,9.415106177330017090e-01,9.339487552642822266e-01,9.256772994995117188e-01,9.180396199226379395e-01,9.179201126098632812e-01,9.163240194320678711e-01,9.118287563323974609e-01,9.083333611488342285e-01,9.049685597419738770e-01,8.953802585601806641e-01
3.585586970417150264e-03,1.827940723160281777e-04,8.704938888549804688e-01,8.628565073013305664e-01,8.592128753662109375e-01,8.563585877418518066e-01,8.586506247520446777e-01,8.453857302665710449e-01,8.435795903205871582e-01,8.426508903503417969e-01,8.423714637756347656e-01,8.415782451629638672e-01,8.335360884666442871e-01,8.337905406951904297e-01,8.246333003044128418e-01,8.175050616264343262e-01,8.139378428459167480e-01
3.749763116287069525e-03,1.653878425713628531e-04,7.858595252037048340e-01,7.804861068725585938e-01,7.815731763839721680e-01,7.719088196754455566e-01,7.687600851058959961e-01,7.605476975440979004e-01,7.664827704429626465e-01,7.668684720993041992e-01,7.558727264404296875e-01,7.586280703544616699e-01,7.544779181480407715e-01,7.556915283203125000e-01,7.481813430786132812e-01,7.465692162513732910e-01,7.408975958824157715e-01
3.913939262156988785e-03,1.509552967036142945e-04,7.146505117416381836e-01,7.129411101341247559e-01,7.074164748191833496e-01,7.014077305793762207e-01,7.038639783859252930e-01,6.996353268623352051e-01,6.975666284561157227e-01,6.976517438888549805e-01,6.958137154579162598e-01,6.915206909179687500e-01,6.894415020942687988e-01,6.831816434860229492e-01,6.833409070968627930e-01,6.837705969810485840e-01,6.812878251075744629e-01
4.078115408026909347e-03,1.370502141071483493e-04,6.470656991004943848e-01,6.450502872467041016e-01,6.416893005371093750e-01,6.418980956077575684e-01,6.354334950447082520e-01,6.386637091636657715e-01,6.338267922401428223e-01,6.294721364974975586e-01,6.311208009719848633e-01,6.288331151008605957e-01,6.234089732170104980e-01,6.230774521827697754e-01,6.212902665138244629e-01,6.236954927444458008e-01,6.209040284156799316e-01
4.242291553896828174e-03,1.262674777535721660e-04,5.929289460182189941e-01,5.948291420936584473e-01,5.907709002494812012e-01,5.903473496437072754e-01,5.852237939834594727e-01,5.858387947082519531e-01,5.851315855979919434e-01,5.810877084732055664e-01,5.783577561378479004e-01,5.758517384529113770e-01,5.778259634971618652e-01,5.775499939918518066e-01,5.761901736259460449e-01,5.736568570137023926e-01,5.715425014495849609e-01
4.406467699766747001e-03,1.172772172139957547e-04,5.548507571220397949e-01,5.502203106880187988e-01,5.499408841133117676e-01,5.477495789527893066e-01,5.468536019325256348e-01,5.383280515670776367e-01,5.413721203804016113e-01,5.379590988159179688e-01,5.379663109779357910e-01,5.387554168701171875e-01,5.403959155082702637e-01,5.362997651100158691e-01,5.382781028747558594e-01,5.298641324043273926e-01,5.304679274559020996e-01
4.570643845636667563e-03,1.087789059965871274e-04,5.142160058021545410e-01,5.094357132911682129e-01,5.055757761001586914e-01,5.066508054733276367e-01,5.020539760589599609e-01,5.018463730812072754e-01,5.017774105072021484e-01,5.013439655303955078e-01,5.050594806671142578e-01,4.967805445194244385e-01,4.996794164180755615e-01,5.015605688095092773e-01,4.967350959777832031e-01,4.973033070564270020e-01,4.909554719924926758e-01
4.734819991506586390e-03,1.022680662572383881e-04,4.770346879959106445e-01,4.797835946083068848e-01,4.781278371810913086e-01,4.748824536800384521e-01,4.757084846496582031e-01,4.736188054084777832e-01,4.729256927967071533e-01,4.722223579883575439e-01,4.725150465965270996e-01,4.669660329818725586e-01,4.655323922634124756e-01,4.665732681751251221e-01,4.680962264537811279e-01,4.653472304344177246e-01,4.717836081981658936e-01
4.898996137376506084e-03,9.613144356990233064e-05,4.484721422195434570e-01,4.504795968532562256e-01,4.505640566349029541e-01,4.467735886573791504e-01,4.418984651565551758e-01,4.423852264881134033e-01,4.429551959037780762e-01,4.462881982326507568e-01,4.440740346908569336e-01,4.403476715087890625e-01,4.403828382492065430e-01,4.436310529708862305e-01,4.415330290794372559e-01,4.382143020629882812e-01,4.394236505031585693e-01
5.063172283246425778e-03,9.094963024836033583e-05,4.288426637649536133e-01,4.223455190658569336e-01,4.203199446201324463e-01,4.199897050857543945e-01,4.202855825424194336e-01,4.211046695709228516e-01,4.200744032859802246e-01,4.177899062633514404e-01,4.162356257438659668e-01,4.186708629131317139e-01,4.199165701866149902e-01,4.168401956558227539e-01,4.167838096618652344e-01,4.178361296653747559e-01,4.189416170120239258e-01
5.227348429116344605e-03,8.639798033982515335e-05,4.023382961750030518e-01,4.040626585483551025e-01,3.994790315628051758e-01,4.019106328487396240e-01,4.008270502090454102e-01,4.007867872714996338e-01,3.962162435054779053e-01,3.992990255355834961e-01,3.961393833160400391e-01,3.984969854354858398e-01,3.959909081459045410e-01,3.932459354400634766e-01,3.986903131008148193e-01,3.955143094062805176e-01,3.981370627880096436e-01
5.391524574986265167e-03,8.189763320842757821e-05,3.807533681392669678e-01,3.767007887363433838e-01,3.779250681400299072e-01,3.770070374011993408e-01,3.800734281539916992e-01,3.817801773548126221e-01,3.775677978992462158e-01,3.798603415489196777e-01,3.788821101188659668e-01,3.755899369716644287e-01,3.799340426921844482e-01,3.742862343788146973e-01,3.761411607265472412e-01,3.768297433853149414e-01,3.770922124385833740e-01
5.555700720856183994e-03,7.859712786739692092e-05,3.664033412933349609e-01,3.616988360881805420e-01,3.632183670997619629e-01,3.620912134647369385e-01,3.618977963924407959e-01,3.615187108516693115e-01,3.624778091907501221e-01,3.653836846351623535e-01,3.617838323116302490e-01,3.592713773250579834e-01,3.627929985523223877e-01,3.619093894958496094e-01,3.632728159427642822e-01,3.639657497406005859e-01,3.618293106555938721e-01
5.719876866726103688e-03,7.471175194950774312e-05,3.469707369804382324e-01,3.463370800018310547e-01,3.439620733261108398e-01,3.468857705593109131e-01,3.450467884540557861e-01,3.463179469108581543e-01,3.446173369884490967e-01,3.433426618576049805e-01,3.410131633281707764e-01,3.426293432712554932e-01,3.461052477359771729e-01,3.426199257373809814e-01,3.459274768829345703e-01,3.435840904712677002e-01,3.452475965023040771e-01
5.884053012596023383e-03,7.200949767138808966e-05,3.331385850906372070e-01,3.298737406730651855e-01,3.312099874019622803e-01,3.310572206974029541e-01,3.310050070285797119e-01,3.294971287250518799e-01,3.346609771251678467e-01,3.347842097282409668e-01,3.305412232875823975e-01,3.341217935085296631e-01,3.309290111064910889e-01,3.323474824428558350e-01,3.339086174964904785e-01,3.342346549034118652e-01,3.318819105625152588e-01
6.048229158465942210e-03,6.953707634238526225e-05,3.199225068092346191e-01,3.193672299385070801e-01,3.173961341381072998e-01,3.193477988243103027e-01,3.211574256420135498e-01,3.218636214733123779e-01,3.204568028450012207e-01,3.193942010402679443e-01,3.188829123973846436e-01,3.209933042526245117e-01,3.204391598701477051e-01,3.236076831817626953e-01,3.239950239658355713e-01,3.220174312591552734e-01,3.220665752887725830e-01
6.212405304335862771e-03,6.721307727275416255e-05,3.086882233619689941e-01,3.076957166194915771e-01,3.104820847511291504e-01,3.077685832977294922e-01,3.105023801326751709e-01,3.112007677555084229e-01,3.082065582275390625e-01,3.109127581119537354e-01,3.080902993679046631e-01,3.106486201286315918e-01,3.126614391803741455e-01,3.094366788864135742e-01,3.089650571346282959e-01,3.111558854579925537e-01,3.133063018321990967e-01
