2.436353949327713705e-03,1.093867467716336250e-03,5.028314113616943359e+00,5.009157657623291016e+00,4.997983455657958984e+00,4.972995758056640625e+00,4.966192245483398438e+00,4.952019214630126953e+00,4.935503959655761719e+00,4.920895099639892578e+00,4.923605442047119141e+00,4.894343852996826172e+00,4.882144451141357422e+00,4.879529953002929688e+00,4.859062671661376953e+00,4.843255996704101562e+00,4.823428630828857422e+00
2.600530095197632965e-03,9.066637139767408371e-04,4.161480903625488281e+00,4.136413097381591797e+00,4.135472297668457031e+00,4.138655662536621094e+00,4.120304584503173828e+00,4.098902702331542969e+00,4.094427585601806641e+00,4.071015357971191406e+00,4.077210426330566406e+00,4.052857398986816406e+00,4.048064708709716797e+00,4.028962135314941406e+00,4.027975082397460938e+00,4.015786170959472656e+00,4.013550758361816406e+00
2.764706241067552660e-03,7.524717948399484158e-04,3.454427003860473633e+00,3.442056179046630859e+00,3.436968803405761719e+00,3.437966346740722656e+00,3.425606012344360352e+00,3.420488834381103516e+00,3.393505096435546875e+00,3.390229940414428711e+00,3.379831790924072266e+00,3.365560054779052734e+00,3.355133771896362305e+00,3.342633008956909180e+00,3.331613540649414062e+00,3.332768440246582031e+00,3.320614814758300781e+00
2.928882386937472354e-03,6.376936216838657856e-04,2.925144910812377930e+00,2.921164989471435547e+00,2.913588762283325195e+00,2.909789085388183594e+00,2.898874282836914062e+00,2.886141300201416016e+00,2.879921674728393555e+00,2.873501300811767578e+00,2.860424995422363281e+00,2.853939056396484375e+00,2.851613044738769531e+00,2.841659069061279297e+00,2.825783252716064453e+00,2.828112363815307617e+00,2.806595087051391602e+00
3.093058532807391615e-03,5.398712819442152977e-04,2.471790552139282227e+00,2.477809190750122070e+00,2.473665475845336914e+00,2.460591793060302734e+00,2.450628042221069336e+00,2.442272663116455078e+00,2.443977117538452148e+00,2.435675859451293945e+00,2.427932262420654297e+00,2.418114900588989258e+00,2.413959741592407227e+00,2.399482727050781250e+00,2.400970935821533203e+00,2.388376474380493164e+00,2.379965543746948242e+00
3.257234678677311309e-03,4.653858195524662733e-04,2.135119438171386719e+00,2.128001689910888672e+00,2.131023645401000977e+00,2.124118089675903320e+00,2.110463619232177734e+00,2.104843378067016602e+00,2.104393243789672852e+00,2.097318172454833984e+00,2.084979772567749023e+00,2.082163810729980469e+00,2.079751014709472656e+00,2.078968048095703125e+00,2.068619251251220703e+00,2.061710119247436523e+00,2.056557178497314453e+00
3.421410824547230570e-03,4.013134457636624575e-04,1.852147817611694336e+00,1.844238758087158203e+00,1.832093358039855957e+00,1.833567142486572266e+00,1.824576854705810547e+00,1.814442992210388184e+00,1.814285039901733398e+00,1.810932397842407227e+00,1.799114823341369629e+00,1.796083927154541016e+00,1.796784520149230957e+00,1.784621357917785645e+00,1.777547359466552734e+00,1.775203585624694824e+00,1.776392936706542969e+00
3.585586970417150264e-03,3.502813342493027449e-04,1.611996769905090332e+00,1.605338454246520996e+00,1.595393061637878418e+00,1.594939589500427246e+00,1.599243521690368652e+00,1.591394782066345215e+00,1.584576964378356934e+00,1.581746459007263184e+00,1.570410013198852539e+00,1.564421653747558594e+00,1.563654661178588867e+00,1.562378048896789551e+00,1.557319641113281250e+00,1.553149580955505371e+00,1.542863726615905762e+00
3.749763116287069525e-03,3.055147244594991207e-04,1.404984235763549805e+00,1.399594902992248535e+00,1.404843688011169434e+00,1.388256907463073730e+00,1.390228152275085449e+00,1.384307980537414551e+00,1.380307197570800781e+00,1.377491950988769531e+00,1.373034238815307617e+00,1.370499253273010254e+00,1.365551590919494629e+00,1.358655333518981934e+00,1.358312129974365234e+00,1.352619886398315430e+00,1.353371739387512207e+00
3.913939262156988785e-03,2.704540966078639030e-04,1.253197193145751953e+00,1.237671494483947754e+00,1.238547563552856445e+00,1.234842896461486816e+00,1.227391958236694336e+00,1.226555347442626953e+00,1.220519900321960449e+00,1.224424719810485840e+00,1.211012959480285645e+00,1.214265823364257812e+00,1.210067152976989746e+00,1.202144742012023926e+00,1.202609777450561523e+00,1.195518970489501953e+00,1.196542978286743164e+00
